"Date","Mean.TemperatureC","fog","rain","snow","hail","thunder","tornado"
2014-01-01,12,0,0,0,0,0,0
2014-01-02,14,0,0,0,0,0,0
2014-01-03,13,0,0,0,0,0,0
2014-01-04,12,0,0,0,0,0,0
2014-01-05,12,0,0,0,0,0,0
2014-01-06,13,0,0,0,0,0,0
2014-01-07,10,0,0,0,0,0,0
2014-01-08,10,0,0,0,0,0,0
2014-01-09,8,0,0,0,0,0,0
2014-01-10,12,0,0,0,0,0,0
2014-01-11,13,0,0,0,0,0,0
2014-01-12,10,0,0,0,0,0,0
2014-01-13,14,0,0,0,0,0,0
2014-01-14,16,0,0,0,0,0,0
2014-01-15,17,0,0,0,0,0,0
2014-01-16,16,0,0,0,0,0,0
2014-01-17,16,0,0,0,0,0,0
2014-01-18,14,0,0,0,0,0,0
2014-01-19,13,0,0,0,0,0,0
2014-01-20,13,0,0,0,0,0,0
2014-01-21,14,0,0,0,0,0,0
2014-01-22,15,0,0,0,0,0,0
2014-01-23,13,0,0,0,0,0,0
2014-01-24,18,0,1,0,0,0,0
2014-01-25,16,0,0,0,0,0,0
2014-01-26,12,0,0,0,0,0,0
2014-01-27,12,0,0,0,0,0,0
2014-01-28,13,0,0,0,0,0,0
2014-01-29,16,0,0,0,0,0,0
2014-01-30,11,0,1,0,0,0,0
2014-01-31,11,0,0,0,0,0,0
2014-02-01,8,1,0,0,0,0,0
2014-02-02,7,0,1,0,0,0,0
2014-02-03,9,0,1,0,0,0,0
2014-02-04,8,0,0,0,0,0,0
2014-02-05,9,0,0,0,0,0,0
2014-02-06,9,0,1,0,0,0,0
2014-02-07,11,0,1,0,0,0,0
2014-02-08,12,0,0,0,0,0,0
2014-02-09,11,0,0,0,0,0,0
2014-02-10,13,0,0,0,0,0,0
2014-02-11,13,0,0,0,0,0,0
2014-02-12,16,0,0,0,0,0,0
2014-02-13,17,0,0,0,0,0,0
2014-02-14,17,0,0,0,0,0,0
2014-02-15,17,0,0,0,0,0,0
2014-02-16,16,0,0,0,0,0,0
2014-02-17,15,0,0,0,0,0,0
2014-02-18,14,1,0,0,0,0,0
2014-02-19,12,1,0,0,0,0,0
2014-02-20,14,0,0,0,0,0,0
2014-02-21,16,0,0,0,0,0,0
2014-02-22,13,0,0,0,0,0,0
2014-02-23,13,0,0,0,0,0,0
2014-02-24,14,0,0,0,0,0,0
