Year_Month,Milk_Production,Wisconsin_Employment_Rate
1962-01,589,237.6
1962-02,561,235.7
1962-03,640,236.1
1962-04,656,242.6
1962-05,727,244.5
1962-06,697,246.6
1962-07,640,245.7
1962-08,599,247.7
1962-09,568,248.9
1962-10,577,251.4
1962-11,553,255.9
1962-12,582,263.7
1963-01,600,242.2
1963-02,566,239.3
1963-03,653,239.7
1963-04,673,247.2
1963-05,742,249.3
1963-06,716,252.3
1963-07,660,252.8
1963-08,617,253.6
1963-09,583,254.2
1963-10,587,256.1
1963-11,565,260.3
1963-12,598,268.8
1964-01,628,250.1
1964-02,618,247.9
1964-03,688,249
1964-04,705,253.8
1964-05,770,258.3
1964-06,736,261.3
1964-07,678,261.3
1964-08,639,261.9
1964-09,604,263.3
1964-10,611,267.3
1964-11,594,270.6
1964-12,634,281.5
1965-01,658,261.9
1965-02,622,258.6
1965-03,709,259.7
1965-04,722,266
1965-05,782,271.1
1965-06,756,274.4
1965-07,702,274
1965-08,653,273.8
1965-09,615,274.9
1965-10,621,280
1965-11,602,285.4
1965-12,635,295.9
1966-01,677,275.4
1966-02,635,273.6
1966-03,736,275.9
1966-04,755,281.1
1966-05,811,285.2
1966-06,798,289.1
1966-07,735,289.2
1966-08,697,288.9
1966-09,661,291.1
1966-10,667,295.3
1966-11,645,300.2
1966-12,688,310.9
1967-01,713,286.9
1967-02,667,283
1967-03,762,286.2
1967-04,784,291.5
1967-05,837,295.4
1967-06,817,299.7
1967-07,767,297.9
1967-08,722,298.1
1967-09,681,300.2
1967-10,687,304.8
1967-11,660,311.9
1967-12,698,320.9
1968-01,717,298.3
1968-02,696,295.5
1968-03,775,297.2
1968-04,796,302.7
1968-05,858,306.7
1968-06,826,309.1
1968-07,783,308.7
1968-08,740,309.9
1968-09,701,310.8
1968-10,706,314.7
1968-11,677,321.2
1968-12,711,329
1969-01,734,307.6
1969-02,690,305.5
1969-03,785,308
1969-04,805,314.4
1969-05,871,320.5
1969-06,845,323.4
1969-07,801,323
1969-08,764,324.4
1969-09,725,326.1
1969-10,723,329.3
1969-11,690,335
1969-12,734,341.9
1970-01,750,321.8
1970-02,707,317.3
1970-03,807,318.6
1970-04,824,323.4
1970-05,886,327.1
1970-06,859,327.9
1970-07,819,325.3
1970-08,783,325.7
1970-09,740,330
1970-10,747,333.5
1970-11,711,337.1
1970-12,751,341.3
1971-01,804,321.6
1971-02,756,318.2
1971-03,860,319.6
1971-04,878,326.2
1971-05,942,332.3
1971-06,913,334.2
1971-07,869,334.5
1971-08,834,335.5
1971-09,790,335.1
1971-10,800,338.2
1971-11,763,341.9
1971-12,800,347.9
1972-01,826,329.5
1972-02,799,326.4
1972-03,890,329.1
1972-04,900,337.2
1972-05,961,344.9
1972-06,935,349.6
1972-07,894,351
1972-08,855,353.8
1972-09,809,354.5
1972-10,810,357.4
1972-11,766,362.1
1972-12,805,367.5
1973-01,821,347.9
1973-02,773,345
1973-03,883,348.9
1973-04,898,355.3
1973-05,957,362.4
1973-06,924,366.6
1973-07,881,366
1973-08,837,370.2
1973-09,784,370.9
1973-10,791,374.5
1973-11,760,380.2
1973-12,802,384.6
1974-01,828,360.6
1974-02,778,354.4
1974-03,889,357.4
1974-04,902,367
1974-05,969,375.7
1974-06,947,381
1974-07,908,381.2
1974-08,867,383
1974-09,815,384.3
1974-10,812,387
1974-11,773,391.7
1974-12,813,396
1975-01,834,374
1975-02,782,370.4
1975-03,892,373.2
1975-04,903,381.1
1975-05,966,389.9
1975-06,937,394.6
1975-07,896,394
1975-08,858,397
1975-09,817,397.2
1975-10,827,399.4
