Year,Week_Of_The_Year,quantityPerWeek,NoOfWeeklyPromotion,FractionOfWeeklyPriceChange,AverageWeeklyPriceChange,AverageWeeklyPriceChangePer,weeklyPromotion
2013,34,33,0,0,0,0,N
2013,35,142,0,0,0,0,N
2013,36,591,7,0.5,0.071428571,6.00240096,Y
2013,37,460,7,1,0.142857143,12.00480192,Y
2013,38,127,7,-0.1,-0.014285714,-1.200480192,Y
2013,39,80,7,-0.7,-0.1,-8.403361345,Y
2013,40,152,7,-0.7,-0.1,-8.403361345,Y
2013,41,602,7,0.5,0.071428571,6.00240096,Y
2013,42,648,7,1.4,0.2,16.80672269,Y
2013,43,388,7,1,0.142857143,12.00480192,Y
2013,44,145,7,-0.1,-0.014285714,-1.200480192,Y
2013,45,125,7,-0.7,-0.1,-8.403361345,Y
2013,46,399,7,0.5,0.071428571,6.00240096,Y
2013,47,468,4,0.8,0.2,16.80672269,Y
2013,48,734,5,1,0.2,16.80672269,Y
2013,49,359,2,0.4,0.2,16.80672269,N
2013,50,806,5,1,0.2,16.80672269,Y
2013,51,709,3,0.6,0.2,16.80672269,N
2013,52,159,0,0,0,0,N
2014,0,123,4,-2,-0.5,-42.01680672,Y
2014,1,139,7,-3.5,-0.5,-42.01680672,Y
2014,2,100,7,-3.5,-0.5,-42.01680672,Y
2014,3,191,7,-0.43,-0.061428571,-5.162064826,Y
2014,4,162,7,-0.42,-0.06,-5.042016807,Y
2014,5,141,7,-0.7,-0.1,-8.403361345,Y
2014,6,749,7,0.8,0.114285714,9.603841537,Y
2014,7,390,7,-0.1,-0.014285714,-1.200480192,Y
2014,8,188,7,-0.7,-0.1,-8.403361345,Y
2014,9,153,7,-0.7,-0.1,-8.403361345,Y
2014,10,530,7,0.8,0.114285714,9.603841537,Y
2014,11,219,2,0.4,0.2,16.80672269,N
2014,12,24,0,0,0,0,N
2014,13,24,0,0,0,0,N
2014,14,24,0,0,0,0,N
2014,15,24,0,0,0,0,N
2014,16,24,0,0,0,0,N
